algorithm,params,features,n_features,train_time,predict_time,mem_max,balanced_accuracy,f1_weighted,precision_weighted,recall_weighted,roc_auc_ovr_weighted,confusion_matrix
<class 'sklearn.neighbors._classification.KNeighborsClassifier'>,"{'metric': 'euclidean', 'n_jobs': -1, 'n_neighbors': 3}","('fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'chlorides', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol')",11,0.004127099999990946,0.0003327184374999792,1423.34375,0.3063586229946524,0.5745806201576913,0.5699518268268269,0.58125,0.7274150474748875,"[[ 0  0  0  2  0  0]
 [ 0  1  5  4  1  0]
 [ 0  1 91 42  2  0]
 [ 0  3 39 74 12  0]
 [ 0  0  5 12 20  3]
 [ 0  0  0  1  2  0]]"
<class 'sklearn.neighbors._classification.KNeighborsClassifier'>,"{'metric': 'euclidean', 'n_jobs': -1, 'n_neighbors': 11}","('fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'chlorides', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol')",11,0.003829600000003097,0.00035834062499997545,1423.66015625,0.2618566176470588,0.5433040078201368,0.5317973417311166,0.5625,0.715160826917495,"[[ 0  0  0  2  0  0]
 [ 0  0  8  2  1  0]
 [ 0  0 90 44  2  0]
 [ 0  0 41 78  9  0]
 [ 0  0  4 24 12  0]
 [ 0  0  0  1  2  0]]"
<class 'sklearn.neighbors._classification.KNeighborsClassifier'>,"{'metric': 'euclidean', 'n_jobs': -1, 'n_neighbors': 17}","('fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'chlorides', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol')",11,0.0034759000000121887,0.00036135687500000736,1423.67578125,0.2718137254901961,0.5663771267397018,0.5537672366243795,0.5875,0.7302683363465882,"[[ 0  0  0  2  0  0]
 [ 0  0  8  2  1  0]
 [ 0  0 96 38  2  0]
 [ 0  0 41 80  7  0]
 [ 0  0  2 26 12  0]
 [ 0  0  0  0  3  0]]"
<class 'sklearn.neighbors._classification.KNeighborsClassifier'>,"{'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 3}","('fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'chlorides', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol')",11,0.0035318999999987,0.00038116999999999736,1423.67578125,0.2759497549019608,0.5558034219769716,0.5504708222811671,0.5625,0.7247619726069849,"[[ 0  1  0  1  0  0]
 [ 0  0  7  3  1  0]
 [ 0  1 93 41  1  0]
 [ 0  6 38 70 14  0]
 [ 0  0  6 14 17  3]
 [ 0  0  1  1  1  0]]"
<class 'sklearn.neighbors._classification.KNeighborsClassifier'>,"{'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 11}","('fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'chlorides', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol')",11,0.0036836000000022295,0.00037776906249997744,1423.78515625,0.27394301470588234,0.5606714628297361,0.5482857142857143,0.578125,0.7278108542469454,"[[ 0  0  0  2  0  0]
 [ 0  0  7  3  1  0]
 [ 0  0 92 42  2  0]
 [ 0  0 38 79 11  0]
 [ 0  0  3 23 14  0]
 [ 0  0  0  1  2  0]]"
<class 'sklearn.neighbors._classification.KNeighborsClassifier'>,"{'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 17}","('fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'chlorides', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol')",11,0.005380599999995184,0.000510285937499999,1424.0703125,0.2956495098039216,0.6044127278019438,0.5912023661592627,0.625,0.7420632543997234,"[[  0   0   0   2   0   0]
 [  0   0   8   2   1   0]
 [  0   0 101  33   2   0]
 [  0   0  37  84   7   0]
 [  0   0   2  23  15   0]
 [  0   0   0   1   2   0]]"
<class 'sklearn.neighbors._classification.KNeighborsClassifier'>,"{'metric': 'minkowski', 'n_jobs': -1, 'n_neighbors': 3}","('fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'chlorides', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol')",11,0.004119399999993334,0.00035149125000000225,1423.91015625,0.3063586229946524,0.5745806201576913,0.5699518268268269,0.58125,0.7274150474748875,"[[ 0  0  0  2  0  0]
 [ 0  1  5  4  1  0]
 [ 0  1 91 42  2  0]
 [ 0  3 39 74 12  0]
 [ 0  0  5 12 20  3]
 [ 0  0  0  1  2  0]]"
<class 'sklearn.neighbors._classification.KNeighborsClassifier'>,"{'metric': 'minkowski', 'n_jobs': -1, 'n_neighbors': 11}","('fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'chlorides', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol')",11,0.003779199999996763,0.0007224774999999628,1423.7890625,0.2618566176470588,0.5433040078201368,0.5317973417311166,0.5625,0.715160826917495,"[[ 0  0  0  2  0  0]
 [ 0  0  8  2  1  0]
 [ 0  0 90 44  2  0]
 [ 0  0 41 78  9  0]
 [ 0  0  4 24 12  0]
 [ 0  0  0  1  2  0]]"
<class 'sklearn.neighbors._classification.KNeighborsClassifier'>,"{'metric': 'minkowski', 'n_jobs': -1, 'n_neighbors': 17}","('fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'chlorides', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol')",11,0.0034615999999942915,0.00036367562499997066,1423.92578125,0.2718137254901961,0.5663771267397018,0.5537672366243795,0.5875,0.7302683363465882,"[[ 0  0  0  2  0  0]
 [ 0  0  8  2  1  0]
 [ 0  0 96 38  2  0]
 [ 0  0 41 80  7  0]
 [ 0  0  2 26 12  0]
 [ 0  0  0  0  3  0]]"
<class 'sklearn.naive_bayes.GaussianNB'>,{'priors': None},"('fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'chlorides', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol')",11,0.002392099999994457,3.9198437499976534e-05,1424.23828125,0.2540315842245989,0.5035754277974467,0.5185886037859722,0.490625,0.7219211357036202,"[[ 0  0  2  0  0  0]
 [ 1  2  6  1  1  0]
 [ 2  5 88 35  6  0]
 [ 0  6 39 57 19  7]
 [ 0  0  1 17 10 12]
 [ 0  0  0  1  2  0]]"
