algorithm,params,features,n_features,train_time,predict_time,mem_max,balanced_accuracy,f1_weighted,precision_weighted,recall_weighted,roc_auc_ovr_weighted,confusion_matrix
"KNeighborsClassifier(n_jobs=-1, n_neighbors=17)","{'metric': 'euclidean', 'n_neighbors': 3}","('fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'chlorides', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol')",11,0.003820300000000998,0.0003373518749999915,1423.0625,0.2631893382352941,0.553578701941378,0.5497992848641551,0.559375,0.7183702478203697,"[[ 0  1  1  0  0  0]
 [ 1  0  5  3  2  0]
 [ 1  4 93 35  3  0]
 [ 1  6 37 73 11  0]
 [ 0  0  8 19 13  0]
 [ 0  0  0  1  2  0]]"
"KNeighborsClassifier(n_jobs=-1, n_neighbors=17)","{'metric': 'euclidean', 'n_neighbors': 11}","('fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'chlorides', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol')",11,0.003265399999996532,0.0003092371875,1423.25,0.24975490196078431,0.515526978468155,0.5023512006651343,0.534375,0.6996798297892587,"[[ 0  1  1  0  0  0]
 [ 0  0  6  5  0  0]
 [ 0  0 95 35  6  0]
 [ 0  0 55 64  9  0]
 [ 0  1  4 23 12  0]
 [ 0  0  0  0  3  0]]"
"KNeighborsClassifier(n_jobs=-1, n_neighbors=17)","{'metric': 'euclidean', 'n_neighbors': 17}","('fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'chlorides', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol')",11,0.0031760000000033983,0.0003077443750000075,1423.7734375,0.2697610294117647,0.5430734674920527,0.5297299027137737,0.5625,0.7059342189205104,"[[ 0  1  1  0  0  0]
 [ 0  0  6  5  0  0]
 [ 0  0 99 31  6  0]
 [ 0  0 53 66  9  0]
 [ 0  0  3 22 15  0]
 [ 0  0  0  2  1  0]]"
"KNeighborsClassifier(n_jobs=-1, n_neighbors=17)","{'metric': 'manhattan', 'n_neighbors': 3}","('fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'chlorides', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol')",11,0.003176100000004567,0.0003329546874999867,1423.3984375,0.2729932598039216,0.57226888140063,0.5675815162527761,0.584375,0.7229592127001572,"[[  0   1   1   0   0   0]
 [  0   0   6   4   1   0]
 [  1   2 101  29   3   0]
 [  0   6  42  73   6   1]
 [  0   0   6  21  13   0]
 [  0   0   0   0   3   0]]"
"KNeighborsClassifier(n_jobs=-1, n_neighbors=17)","{'metric': 'manhattan', 'n_neighbors': 11}","('fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'chlorides', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol')",11,0.003467600000000459,0.0003247099999999836,1423.69921875,0.2628829656862745,0.53910793740252,0.5240290932108027,0.559375,0.7075668668870898,"[[ 0  0  2  0  0  0]
 [ 0  0  6  5  0  0]
 [ 0  0 97 34  5  0]
 [ 0  0 49 69 10  0]
 [ 0  0  6 21 13  0]
 [ 0  0  0  0  3  0]]"
"KNeighborsClassifier(n_jobs=-1, n_neighbors=17)","{'metric': 'manhattan', 'n_neighbors': 17}","('fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'chlorides', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol')",11,0.0032712000000003627,0.0003470006249999935,1423.6328125,0.25621936274509804,0.5222041619797525,0.507546941540844,0.54375,0.7037947007070475,"[[ 0  0  2  0  0  0]
 [ 0  0  7  4  0  0]
 [ 0  0 99 35  2  0]
 [ 0  0 54 62 12  0]
 [ 0  0  2 25 13  0]
 [ 0  0  0  0  3  0]]"
"KNeighborsClassifier(n_jobs=-1, n_neighbors=17)","{'metric': 'minkowski', 'n_neighbors': 3}","('fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'chlorides', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol')",11,0.0037182999999956223,0.0002978915624999967,1423.58984375,0.2631893382352941,0.553578701941378,0.5497992848641551,0.559375,0.7183702478203697,"[[ 0  1  1  0  0  0]
 [ 1  0  5  3  2  0]
 [ 1  4 93 35  3  0]
 [ 1  6 37 73 11  0]
 [ 0  0  8 19 13  0]
 [ 0  0  0  1  2  0]]"
"KNeighborsClassifier(n_jobs=-1, n_neighbors=17)","{'metric': 'minkowski', 'n_neighbors': 11}","('fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'chlorides', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol')",11,0.003102999999995859,0.0003277346875000031,1424.01953125,0.24975490196078431,0.515526978468155,0.5023512006651343,0.534375,0.6996798297892587,"[[ 0  1  1  0  0  0]
 [ 0  0  6  5  0  0]
 [ 0  0 95 35  6  0]
 [ 0  0 55 64  9  0]
 [ 0  1  4 23 12  0]
 [ 0  0  0  0  3  0]]"
"KNeighborsClassifier(n_jobs=-1, n_neighbors=17)","{'metric': 'minkowski', 'n_neighbors': 17}","('fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'chlorides', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol')",11,0.003414900000002774,0.00031696343750000635,1423.5703125,0.2697610294117647,0.5430734674920527,0.5297299027137737,0.5625,0.7059342189205104,"[[ 0  1  1  0  0  0]
 [ 0  0  6  5  0  0]
 [ 0  0 99 31  6  0]
 [ 0  0 53 66  9  0]
 [ 0  0  3 22 15  0]
 [ 0  0  0  2  1  0]]"
GaussianNB(),{'priors': None},"('fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'chlorides', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol')",11,0.0020229000000000497,5.086531250000359e-05,1423.8828125,0.2724571078431372,0.5493236007020867,0.5520820827291953,0.546875,0.7178710195155286,"[[ 0  2  0  0  0  0]
 [ 0  0  5  5  0  1]
 [ 1  6 91 33  5  0]
 [ 0  6 42 66 12  2]
 [ 0  0  1 19 18  2]
 [ 0  0  0  0  3  0]]"
MultinomialNB(),{'alpha': 1.0},"('fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'chlorides', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol')",11,0.0018118999999998664,3.050249999998478e-05,1424.73046875,0.20067401960784315,0.4337398974965504,0.4020227272727273,0.503125,0.6926527062181564,"[[  0   0   2   0   0   0]
 [  0   0   7   4   0   0]
 [  0   0 117  19   0   0]
 [  0   0  84  44   0   0]
 [  0   0  10  30   0   0]
 [  0   0   0   3   0   0]]"
BernoulliNB(),{'alpha': 1.0},"('fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'chlorides', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol')",11,0.0021429999999966753,3.0978749999999165e-05,1425.90234375,0.16268382352941177,0.30076208096559626,0.32315489388660124,0.4125,0.5051232600076215,"[[  0   0   1   1   0   0]
 [  0   0   8   3   0   0]
 [  0   0 120  16   0   0]
 [  0   0 116  12   0   0]
 [  0   0  39   1   0   0]
 [  0   0   3   0   0   0]]"
DecisionTreeClassifier(criterion='entropy'),{'criterion': 'gini'},"('fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'chlorides', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol')",11,0.007785599999991177,3.0253125000001547e-05,1435.8046875,0.31916638814616755,0.5693230263635704,0.5685306647375613,0.571875,0.6678944729989341,"[[ 0  1  1  0  0  0]
 [ 0  2  5  3  1  0]
 [ 0  4 91 34  6  1]
 [ 0  3 41 69 13  2]
 [ 0  1  7 11 21  0]
 [ 0  0  0  0  3  0]]"
DecisionTreeClassifier(criterion='entropy'),{'criterion': 'entropy'},"('fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'chlorides', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol')",11,0.014157500000010259,3.001687499999406e-05,1435.86328125,0.29967830882352947,0.5999918831168831,0.5943975225225225,0.60625,0.6922688163197938,"[[ 0  0  2  0  0  0]
 [ 0  0  7  3  1  0]
 [ 1  3 96 31  5  0]
 [ 0  2 35 79  9  3]
 [ 0  0  4 15 19  2]
 [ 0  0  0  0  3  0]]"
