algorithm,params,features,n_features,train_time,predict_time,mem_max,balanced_accuracy,f1_weighted,precision_weighted,recall_weighted,roc_auc_ovr_weighted,confusion_matrix
"KNeighborsClassifier(metric='euclidean', n_jobs=-1, n_neighbors=17)","OrderedDict([('metric', 'minkowski'), ('n_neighbors', 11)])","('fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'chlorides', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol')",11,0.0038882999999998447,0.00034380125000001984,1432.6171875,0.23397671568627454,0.505570358093943,0.4884004581878768,0.53125,0.6866922328023106,"[[ 0  0  2  0  0  0]
 [ 0  0  6  5  0  0]
 [ 0  0 97 39  0  0]
 [ 0  0 47 66 15  0]
 [ 0  0  8 25  7  0]
 [ 0  0  0  2  1  0]]"
"KNeighborsClassifier(metric='euclidean', n_jobs=-1, n_neighbors=17)","OrderedDict([('metric', 'minkowski'), ('n_neighbors', 3)])","('fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'chlorides', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol')",11,0.00395950000000056,0.0003095184375000004,1432.171875,0.31331188725490194,0.49652596359991225,0.4889114987080103,0.509375,0.703330092306949,"[[ 1  0  1  0  0  0]
 [ 1  0  7  3  0  0]
 [ 2  3 88 42  1  0]
 [ 0  3 44 65 16  0]
 [ 1  0 13 17  9  0]
 [ 0  0  0  2  1  0]]"
"KNeighborsClassifier(metric='euclidean', n_jobs=-1, n_neighbors=17)","OrderedDict([('metric', 'manhattan'), ('n_neighbors', 11)])","('fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'chlorides', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol')",11,0.004028400000002819,0.00036325562499999186,1432.6171875,0.23079044117647055,0.4929258199010452,0.4786289700894234,0.515625,0.679424661567545,"[[ 0  0  2  0  0  0]
 [ 0  0  7  4  0  0]
 [ 0  0 91 45  0  0]
 [ 0  0 49 66 13  0]
 [ 0  0  7 25  8  0]
 [ 0  0  0  1  2  0]]"
"KNeighborsClassifier(metric='euclidean', n_jobs=-1, n_neighbors=17)","OrderedDict([('metric', 'minkowski'), ('n_neighbors', 17)])","('fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'chlorides', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol')",11,0.0035981999999989966,0.0003460196874999877,1432.23828125,0.24526654411764703,0.5242545727887747,0.5066760988492737,0.553125,0.6935926143921864,"[[  0   0   2   0   0   0]
 [  0   0   7   4   0   0]
 [  0   0 106  30   0   0]
 [  0   0  49  63  16   0]
 [  0   0   7  25   8   0]
 [  0   0   0   2   1   0]]"
"KNeighborsClassifier(metric='euclidean', n_jobs=-1, n_neighbors=17)","OrderedDict([('metric', 'euclidean'), ('n_neighbors', 11)])","('fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'chlorides', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol')",11,0.0036377999999999133,0.00035823406249999577,1432.78515625,0.23397671568627454,0.505570358093943,0.4884004581878768,0.53125,0.6866922328023106,"[[ 0  0  2  0  0  0]
 [ 0  0  6  5  0  0]
 [ 0  0 97 39  0  0]
 [ 0  0 47 66 15  0]
 [ 0  0  8 25  7  0]
 [ 0  0  0  2  1  0]]"
"KNeighborsClassifier(metric='euclidean', n_jobs=-1, n_neighbors=17)","OrderedDict([('metric', 'manhattan'), ('n_neighbors', 3)])","('fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'chlorides', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol')",11,0.0037288999999987027,0.0003455618749999889,1432.65625,0.22722120098039214,0.48735163947361604,0.47919787024507066,0.5,0.6871007930017807,"[[ 0  0  2  0  0  0]
 [ 1  0  7  3  0  0]
 [ 2  2 90 42  0  0]
 [ 0  4 44 61 19  0]
 [ 1  0 14 16  9  0]
 [ 0  0  0  2  1  0]]"
"KNeighborsClassifier(metric='euclidean', n_jobs=-1, n_neighbors=17)","OrderedDict([('metric', 'euclidean'), ('n_neighbors', 3)])","('fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'chlorides', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol')",11,0.0033628999999990583,0.0003285303124999972,1432.7265625,0.31331188725490194,0.49652596359991225,0.4889114987080103,0.509375,0.703330092306949,"[[ 1  0  1  0  0  0]
 [ 1  0  7  3  0  0]
 [ 2  3 88 42  1  0]
 [ 0  3 44 65 16  0]
 [ 1  0 13 17  9  0]
 [ 0  0  0  2  1  0]]"
"KNeighborsClassifier(metric='euclidean', n_jobs=-1, n_neighbors=17)","OrderedDict([('metric', 'manhattan'), ('n_neighbors', 17)])","('fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'chlorides', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol')",11,0.0036641000000017243,0.0003646943749999965,1432.87109375,0.23285845588235296,0.4968528858528858,0.48022295661887926,0.521875,0.6940162788029127,"[[ 0  0  2  0  0  0]
 [ 0  0  7  4  0  0]
 [ 0  0 98 38  0  0]
 [ 0  0 52 61 15  0]
 [ 0  0  5 27  8  0]
 [ 0  0  0  1  2  0]]"
"KNeighborsClassifier(metric='euclidean', n_jobs=-1, n_neighbors=17)","OrderedDict([('metric', 'euclidean'), ('n_neighbors', 17)])","('fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'chlorides', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol')",11,0.0036808999999990988,0.0003464165625000071,1432.53125,0.24526654411764703,0.5242545727887747,0.5066760988492737,0.553125,0.6935926143921864,"[[  0   0   2   0   0   0]
 [  0   0   7   4   0   0]
 [  0   0 106  30   0   0]
 [  0   0  49  63  16   0]
 [  0   0   7  25   8   0]
 [  0   0   0   2   1   0]]"
"KNeighborsClassifier(metric='euclidean', n_jobs=-1, n_neighbors=17)","OrderedDict([('metric', 'minkowski'), ('n_neighbors', 11)])","('fixed acidity', 'volatile acidity', 'citric acid', 'chlorides', 'free sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol')",9,0.0032513999999963517,0.00031356124999999403,1434.26171875,0.24640012254901963,0.5183713037133809,0.5020812644819596,0.540625,0.6809393704638637,"[[ 0  0  2  0  0  0]
 [ 0  0  6  5  0  0]
 [ 0  0 98 38  0  0]
 [ 0  0 46 65 17  0]
 [ 0  0  7 23 10  0]
 [ 0  0  0  2  1  0]]"
"KNeighborsClassifier(metric='euclidean', n_jobs=-1, n_neighbors=17)","OrderedDict([('metric', 'minkowski'), ('n_neighbors', 3)])","('fixed acidity', 'volatile acidity', 'citric acid', 'chlorides', 'free sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol')",9,0.003916000000003805,0.000319664374999995,1433.80078125,0.22297794117647055,0.4836666666666667,0.4748331258214013,0.496875,0.6828744697009463,"[[ 0  0  1  1  0  0]
 [ 0  0  8  3  0  0]
 [ 2  4 91 38  1  0]
 [ 0  4 44 60 20  0]
 [ 0  0 14 18  8  0]
 [ 0  0  0  2  1  0]]"
"KNeighborsClassifier(metric='euclidean', n_jobs=-1, n_neighbors=17)","OrderedDict([('metric', 'manhattan'), ('n_neighbors', 11)])","('fixed acidity', 'volatile acidity', 'citric acid', 'chlorides', 'free sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol')",9,0.004508999999998764,0.00036532281250001297,1433.64453125,0.22838541666666667,0.4886772482727529,0.4728528666455496,0.51875,0.6780540761360049,"[[  0   0   2   0   0   0]
 [  0   0   7   4   0   0]
 [  0   0 102  34   0   0]
 [  0   0  57  57  14   0]
 [  0   0   7  26   7   0]
 [  0   0   0   2   1   0]]"
