algorithm,params,features,n_features,train_time,predict_time,mem_max,balanced_accuracy,f1_weighted,precision_weighted,recall_weighted,roc_auc_ovr_weighted,confusion_matrix
<class 'sklearn.neighbors._classification.KNeighborsClassifier'>,"{'metric': 'euclidean', 'n_jobs': -1, 'n_neighbors': 3}","('fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'chlorides', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol')",11,0.0038285999999629894,0.0003425318750000628,1422.453125,0.2971813725490196,0.5897688249639177,0.5889784946236559,0.59375,0.7352697097092487,"[[ 0  2  0  0  0  0]
 [ 1  0  3  7  0  0]
 [ 1  2 98 34  1  0]
 [ 0  7 41 72  8  0]
 [ 0  0  5 14 20  1]
 [ 0  0  0  1  2  0]]"
<class 'sklearn.neighbors._classification.KNeighborsClassifier'>,"{'metric': 'euclidean', 'n_jobs': -1, 'n_neighbors': 11}","('fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'chlorides', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol')",11,0.0037331000000335735,0.00034583374999996863,1422.94921875,0.3028645833333333,0.6026734745834629,0.5897366476966275,0.621875,0.7739690741827465,"[[  0   0   2   0   0   0]
 [  0   0   5   6   0   0]
 [  0   0 102  33   1   0]
 [  0   0  41  79   8   0]
 [  0   0   3  19  18   0]
 [  0   0   1   0   2   0]]"
<class 'sklearn.neighbors._classification.KNeighborsClassifier'>,"{'metric': 'euclidean', 'n_jobs': -1, 'n_neighbors': 17}","('fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'chlorides', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol')",11,0.0036421000000359527,0.00033041937500009053,1422.984375,0.30076593137254903,0.6024101929423712,0.5936452095808382,0.625,0.7845918945762465,"[[  0   0   2   0   0   0]
 [  0   0   6   5   0   0]
 [  0   0 109  26   1   0]
 [  0   0  48  74   6   0]
 [  0   0   2  21  17   0]
 [  0   0   0   2   1   0]]"
<class 'sklearn.neighbors._classification.KNeighborsClassifier'>,"{'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 3}","('fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'chlorides', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol')",11,0.003267999999991389,0.00034142968749986127,1422.98046875,0.27293198529411766,0.558464872924111,0.5561947755440907,0.5625,0.7322210514048492,"[[ 0  1  1  0  0  0]
 [ 1  0  5  5  0  0]
 [ 0  4 95 35  2  0]
 [ 1  6 38 69 14  0]
 [ 0  1  7 15 16  1]
 [ 0  0  0  2  1  0]]"
<class 'sklearn.neighbors._classification.KNeighborsClassifier'>,"{'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 11}","('fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'chlorides', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol')",11,0.0032388999999852786,0.0003274343750000241,1423.109375,0.29569546568627453,0.58014209522604,0.5649587087087087,0.596875,0.7646329445408707,"[[ 0  0  2  0  0  0]
 [ 0  0  5  6  0  0]
 [ 0  0 97 37  2  0]
 [ 0  0 40 75 13  0]
 [ 0  0  4 17 19  0]
 [ 0  0  0  0  3  0]]"
<class 'sklearn.neighbors._classification.KNeighborsClassifier'>,"{'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 17}","('fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'chlorides', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol')",11,0.0030934999999772117,0.00034411406250001164,1423.265625,0.29137561274509804,0.5760829334034578,0.5620935702373471,0.59375,0.7657348787212623,"[[ 0  0  2  0  0  0]
 [ 0  0  5  6  0  0]
 [ 0  0 99 36  1  0]
 [ 0  0 44 73 11  0]
 [ 0  0  1 21 18  0]
 [ 0  0  0  1  2  0]]"
<class 'sklearn.neighbors._classification.KNeighborsClassifier'>,"{'metric': 'minkowski', 'n_jobs': -1, 'n_neighbors': 3}","('fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'chlorides', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol')",11,0.0033612999999945714,0.00031171718750009345,1422.7578125,0.2971813725490196,0.5897688249639177,0.5889784946236559,0.59375,0.7352697097092487,"[[ 0  2  0  0  0  0]
 [ 1  0  3  7  0  0]
 [ 1  2 98 34  1  0]
 [ 0  7 41 72  8  0]
 [ 0  0  5 14 20  1]
 [ 0  0  0  1  2  0]]"
<class 'sklearn.neighbors._classification.KNeighborsClassifier'>,"{'metric': 'minkowski', 'n_jobs': -1, 'n_neighbors': 11}","('fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'chlorides', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol')",11,0.0035206999999672917,0.00032162000000006684,1423.265625,0.3028645833333333,0.6026734745834629,0.5897366476966275,0.621875,0.7739690741827465,"[[  0   0   2   0   0   0]
 [  0   0   5   6   0   0]
 [  0   0 102  33   1   0]
 [  0   0  41  79   8   0]
 [  0   0   3  19  18   0]
 [  0   0   1   0   2   0]]"
<class 'sklearn.neighbors._classification.KNeighborsClassifier'>,"{'metric': 'minkowski', 'n_jobs': -1, 'n_neighbors': 17}","('fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'chlorides', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol')",11,0.0032373000000234242,0.000330142500000008,1423.1484375,0.30076593137254903,0.6024101929423712,0.5936452095808382,0.625,0.7845918945762465,"[[  0   0   2   0   0   0]
 [  0   0   6   5   0   0]
 [  0   0 109  26   1   0]
 [  0   0  48  74   6   0]
 [  0   0   2  21  17   0]
 [  0   0   0   2   1   0]]"
<class 'sklearn.naive_bayes.GaussianNB'>,{'priors': None},"('fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'chlorides', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol')",11,0.002309099999990849,3.555968749999749e-05,1423.42578125,0.3401375891265597,0.6084920135127097,0.609247809096316,0.609375,0.7656827122849417,"[[ 0  1  1  0  0  0]
 [ 0  2  5  4  0  0]
 [ 0  5 96 31  3  1]
 [ 0  4 30 74 20  0]
 [ 0  0  3 13 23  1]
 [ 0  0  0  0  3  0]]"
