algorithm,params,features,n_features,train_time,predict_time,mem_max,balanced_accuracy,f1_weighted,precision_weighted,recall_weighted,roc_auc_ovr_weighted,confusion_matrix
<class 'sklearn.ensemble._stacking.StackingClassifier'>,"OrderedDict([('n_jobs', -1), ('stack_method', 'auto')])","('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'residual sugar', 'citric acid', 'volatile acidity', 'fixed acidity')",10,36.54368390000127,0.001389313936429918,2642.25390625,0.9154411764705882,0.9159595317162007,0.9175116097445345,0.9156479217603912,0.9878700643153675,"[[136   0   0   0   0   0]
 [  0 137   0   0   0   0]
 [  1   0 101  34   0   0]
 [  0   1  23 109   3   0]
 [  0   0   0   7 129   0]
 [  0   0   0   0   0 137]]"
<class 'sklearn.ensemble._stacking.StackingClassifier'>,"OrderedDict([('n_jobs', -1), ('stack_method', 'auto')])","('sulphates', 'pH', 'density', 'total sulfur dioxide', 'chlorides', 'residual sugar', 'citric acid', 'volatile acidity', 'fixed acidity')",9,28.656864100001258,0.0012169178484114382,2712.06640625,0.9142156862745098,0.9144955543020215,0.9155957892088548,0.9144254278728606,0.9881228086528189,"[[136   0   0   0   0   0]
 [  0 137   0   0   0   0]
 [  1   0 101  33   1   0]
 [  0   1  23 108   4   0]
 [  0   0   0   7 129   0]
 [  0   0   0   0   0 137]]"
<class 'sklearn.ensemble._stacking.StackingClassifier'>,"OrderedDict([('n_jobs', -1), ('stack_method', 'auto')])","('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'residual sugar', 'citric acid', 'fixed acidity')",9,27.241163400000005,0.0011995676039117833,2647.4140625,0.9117647058823529,0.9121763440035595,0.9125825025284794,0.9119804400977995,0.9884615936157857,"[[136   0   0   0   0   0]
 [  0 137   0   0   0   0]
 [  0   0 103  32   1   0]
 [  0   0  27 104   5   0]
 [  0   0   1   6 129   0]
 [  0   0   0   0   0 137]]"
<class 'sklearn.ensemble._forest.RandomForestClassifier'>,"OrderedDict([('max_depth', None), ('max_features', 'sqrt'), ('min_samples_leaf', 1), ('min_samples_split', 2), ('n_estimators', 500), ('n_jobs', -1)])","('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'residual sugar', 'citric acid', 'volatile acidity', 'fixed acidity')",10,0.805952900000193,0.0008912981662591477,2256.23046875,0.8995098039215687,0.8981809151695515,0.8974466628472101,0.8997555012224939,0.9868698420437516,"[[136   0   0   0   0   0]
 [  0 137   0   0   0   0]
 [  1   1 101  30   3   0]
 [  0   1  24  96  13   2]
 [  0   0   0   7 129   0]
 [  0   0   0   0   0 137]]"
<class 'sklearn.ensemble._forest.RandomForestClassifier'>,"OrderedDict([('max_depth', None), ('max_features', 'sqrt'), ('min_samples_leaf', 1), ('min_samples_split', 2), ('n_estimators', 500), ('n_jobs', -1)])","('sulphates', 'density', 'free sulfur dioxide', 'chlorides', 'residual sugar', 'citric acid', 'volatile acidity', 'fixed acidity')",8,0.7192366999988735,0.0008392245721271985,2399.18359375,0.8958333333333334,0.8943506567178454,0.8934046338898466,0.8960880195599022,0.9867425736185104,"[[136   0   0   0   0   0]
 [  0 137   0   0   0   0]
 [  0   3 101  29   3   0]
 [  0   1  28  93  14   0]
 [  0   0   0   7 129   0]
 [  0   0   0   0   0 137]]"
<class 'sklearn.ensemble._forest.RandomForestClassifier'>,"OrderedDict([('max_depth', None), ('max_features', 'sqrt'), ('min_samples_leaf', 1), ('min_samples_split', 2), ('n_estimators', 500), ('n_jobs', -1)])","('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'residual sugar', 'volatile acidity', 'fixed acidity')",9,0.7931318000009924,0.0009081962102677085,2303.91015625,0.8946078431372549,0.893529725114944,0.8930355582394254,0.8948655256723717,0.9867945564964257,"[[136   0   0   0   0   0]
 [  0 137   0   0   0   0]
 [  0   2  97  35   2   0]
 [  0   1  26  96  11   2]
 [  0   0   0   7 129   0]
 [  0   0   0   0   0 137]]"
<class 'sklearn.ensemble._forest.RandomForestClassifier'>,"OrderedDict([('max_depth', None), ('max_features', 'sqrt'), ('min_samples_leaf', 1), ('min_samples_split', 2), ('n_estimators', 500), ('n_jobs', -1)])","('sulphates', 'pH', 'density', 'free sulfur dioxide', 'chlorides', 'residual sugar', 'citric acid', 'volatile acidity', 'fixed acidity')",9,0.7784302000000025,0.0008487297066012104,2361.515625,0.8933823529411765,0.8917230354516569,0.890692718722381,0.8936430317848411,0.9869451275910776,"[[136   0   0   0   0   0]
 [  0 137   0   0   0   0]
 [  1   2 101  30   2   0]
 [  0   1  28  91  16   0]
 [  0   0   0   7 129   0]
 [  0   0   0   0   0 137]]"
<class 'sklearn.ensemble._forest.RandomForestClassifier'>,"OrderedDict([('max_depth', None), ('max_features', 'sqrt'), ('min_samples_leaf', 1), ('min_samples_split', 2), ('n_estimators', 500), ('n_jobs', -1)])","('sulphates', 'pH', 'density', 'chlorides', 'citric acid', 'volatile acidity', 'fixed acidity')",7,0.7296088000002783,0.0007915226161349161,2323.59765625,0.8933823529411765,0.8912399999423075,0.890507010207758,0.8936430317848411,0.9863562870602068,"[[136   0   0   0   0   0]
 [  0 137   0   0   0   0]
 [  0   1 103  29   3   0]
 [  0   2  27  88  19   0]
 [  0   0   0   6 130   0]
 [  0   0   0   0   0 137]]"
<class 'sklearn.ensemble._hist_gradient_boosting.gradient_boosting.HistGradientBoostingClassifier'>,"OrderedDict([('warm_start', False)])","('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'residual sugar', 'volatile acidity', 'fixed acidity')",9,4.808598100000381,0.00017822420537982832,2615.4453125,0.892156862745098,0.8909254102632618,0.8914491306213689,0.8924205378973105,0.9872659874237285,"[[136   0   0   0   0   0]
 [  0 137   0   0   0   0]
 [  0   5  90  41   0   0]
 [  0   1  25 100  10   0]
 [  0   0   1   5 130   0]
 [  0   0   0   0   0 137]]"
<class 'sklearn.ensemble._hist_gradient_boosting.gradient_boosting.HistGradientBoostingClassifier'>,"OrderedDict([('warm_start', True)])","('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'residual sugar', 'volatile acidity', 'fixed acidity')",9,4.814954800000123,0.00017615831295904433,2615.23828125,0.892156862745098,0.8909254102632618,0.8914491306213689,0.8924205378973105,0.9872659874237285,"[[136   0   0   0   0   0]
 [  0 137   0   0   0   0]
 [  0   5  90  41   0   0]
 [  0   1  25 100  10   0]
 [  0   0   1   5 130   0]
 [  0   0   0   0   0 137]]"
