algorithm,params,features,n_features,train_time,predict_time,mem_max,balanced_accuracy,f1_weighted,precision_weighted,recall_weighted,roc_auc_ovr_weighted,confusion_matrix
<class 'sklearn.ensemble._voting.VotingClassifier'>,"OrderedDict([('n_jobs', -1), ('voting', 'soft'), ('estimators', [('e1', DecisionTreeClassifier(criterion='entropy')), ('e2', SVC(C=10.0, class_weight='balanced', probability=True)), ('e3', RandomForestClassifier(max_features='sqrt', n_estimators=500, n_jobs=-1))])])","('sulphates', 'density', 'total sulfur dioxide', 'chlorides', 'citric acid', 'volatile acidity', 'fixed acidity')",7,1.6253397000000405,0.003075538750002238,2951.6484375,0.45385008169934643,0.6859102752660058,0.6767624223602484,0.696875,0.8607853418489068,"[[  0   0   0   2   0   0]
 [  0   0   6   5   0   0]
 [  0   2 105  26   3   0]
 [  0   1  22  94  10   1]
 [  0   1   5  12  22   0]
 [  0   0   0   1   0   2]]"
<class 'sklearn.ensemble._voting.VotingClassifier'>,"OrderedDict([('n_jobs', -1), ('voting', 'soft'), ('estimators', [('e1', DecisionTreeClassifier(criterion='entropy')), ('e2', SVC(C=10.0, class_weight='balanced', probability=True)), ('e3', RandomForestClassifier(max_features='sqrt', n_estimators=500, n_jobs=-1))])])","('sulphates', 'density', 'total sulfur dioxide', 'chlorides', 'citric acid', 'volatile acidity', 'fixed acidity')",7,1.5710396000004039,0.0031096821874996294,3025.86328125,0.4523948120915033,0.6801464968995251,0.6679013695888375,0.69375,0.851605989877951,"[[  0   0   0   2   0   0]
 [  0   0   6   5   0   0]
 [  0   1 107  23   5   0]
 [  0   0  27  91   9   1]
 [  0   1   5  12  22   0]
 [  0   0   0   1   0   2]]"
<class 'sklearn.ensemble._voting.VotingClassifier'>,"OrderedDict([('n_jobs', -1), ('voting', 'soft'), ('estimators', [('e1', DecisionTreeClassifier(criterion='entropy')), ('e2', SVC(C=10.0, class_weight='balanced', probability=True)), ('e3', RandomForestClassifier(max_features='sqrt', n_estimators=500, n_jobs=-1))])])","('sulphates', 'density', 'total sulfur dioxide', 'chlorides', 'citric acid', 'volatile acidity', 'fixed acidity')",7,1.4959420999994109,0.0030146687500007376,2999.62109375,0.44994383169934643,0.6776266707678037,0.6687578802206462,0.6875,0.8558491341574218,"[[  0   1   0   1   0   0]
 [  0   0   6   5   0   0]
 [  0   2 105  24   5   0]
 [  1   1  25  91   9   1]
 [  0   0   5  13  22   0]
 [  0   0   0   1   0   2]]"
<class 'sklearn.ensemble._voting.VotingClassifier'>,"OrderedDict([('n_jobs', -1), ('voting', 'soft'), ('estimators', [('e1', DecisionTreeClassifier(criterion='entropy')), ('e2', SVC(C=10.0, class_weight='balanced', probability=True)), ('e3', RandomForestClassifier(max_features='sqrt', n_estimators=500, n_jobs=-1))])])","('sulphates', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'citric acid', 'volatile acidity', 'fixed acidity')",8,1.4383222999995269,0.0030293199999988476,2780.06640625,0.4475694444444444,0.6697680139970007,0.6604915353431541,0.68125,0.847776443411254,"[[  0   0   0   2   0   0]
 [  0   0   7   4   0   0]
 [  0   1 102  26   7   0]
 [  0   2  27  92   7   0]
 [  0   0   3  15  22   0]
 [  0   0   0   1   0   2]]"
<class 'sklearn.ensemble._voting.VotingClassifier'>,"OrderedDict([('n_jobs', -1), ('voting', 'soft'), ('estimators', [('e1', DecisionTreeClassifier(criterion='entropy')), ('e2', SVC(C=10.0, class_weight='balanced', probability=True)), ('e3', RandomForestClassifier(max_features='sqrt', n_estimators=500, n_jobs=-1))])])","('sulphates', 'density', 'total sulfur dioxide', 'chlorides', 'citric acid', 'volatile acidity', 'fixed acidity')",7,1.6239598999991358,0.0030211662500022386,2957.01953125,0.44733966503267975,0.6724745194503259,0.6643929865781011,0.68125,0.8521300110819086,"[[  0   1   0   1   0   0]
 [  0   0   7   4   0   0]
 [  0   2 105  25   4   0]
 [  0   2  25  89  11   1]
 [  0   1   6  11  22   0]
 [  0   0   0   1   0   2]]"
<class 'sklearn.ensemble._voting.VotingClassifier'>,"OrderedDict([('n_jobs', -1), ('voting', 'soft'), ('estimators', [('e1', DecisionTreeClassifier(criterion='entropy')), ('e2', SVC(C=10.0, class_weight='balanced', probability=True)), ('e3', RandomForestClassifier(max_features='sqrt', n_estimators=500, n_jobs=-1))])])","('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'citric acid', 'volatile acidity', 'fixed acidity')",9,1.5984800000005635,0.00303896218750026,2853.6640625,0.44698872920380267,0.6436602710289916,0.645228800058226,0.653125,0.8430598786306446,"[[  0   0   0   2   0   0]
 [  0   1   6   4   0   0]
 [  0   0 100  29   7   0]
 [  0   1  29  85  13   0]
 [  0   0  10   9  21   0]
 [  0   0   0   1   0   2]]"
<class 'sklearn.ensemble._voting.VotingClassifier'>,"OrderedDict([('n_jobs', -1), ('voting', 'soft'), ('estimators', [('e1', DecisionTreeClassifier(criterion='entropy')), ('e2', SVC(C=10.0, class_weight='balanced', probability=True)), ('e3', RandomForestClassifier(max_features='sqrt', n_estimators=500, n_jobs=-1))])])","('sulphates', 'density', 'total sulfur dioxide', 'chlorides', 'citric acid', 'volatile acidity', 'fixed acidity')",7,1.6134767999992619,0.0029536965624998857,2904.0625,0.4460069444444444,0.6745593050257449,0.6660936214532025,0.684375,0.850681517301396,"[[  0   1   0   1   0   0]
 [  0   0   7   4   0   0]
 [  0   2 102  26   6   0]
 [  0   2  22  94   9   1]
 [  0   0   6  13  21   0]
 [  0   0   0   1   0   2]]"
<class 'sklearn.ensemble._voting.VotingClassifier'>,"OrderedDict([('n_jobs', -1), ('voting', 'soft'), ('estimators', [('e1', DecisionTreeClassifier(criterion='entropy')), ('e2', SVC(C=10.0, class_weight='balanced', probability=True)), ('e3', RandomForestClassifier(max_features='sqrt', n_estimators=500, n_jobs=-1))])])","('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'citric acid', 'volatile acidity', 'fixed acidity')",9,2.2830893999998807,0.0043024328125000014,2616.41015625,0.44561005273321447,0.6425301852781613,0.6380079162600965,0.65,0.8382663530686465,"[[  0   1   0   1   0   0]
 [  0   1   6   4   0   0]
 [  0   0 101  30   5   0]
 [  1   2  27  83  14   1]
 [  0   0   9  10  21   0]
 [  0   0   0   1   0   2]]"
<class 'sklearn.ensemble._voting.VotingClassifier'>,"OrderedDict([('n_jobs', -1), ('voting', 'soft'), ('estimators', [('e1', DecisionTreeClassifier(criterion='entropy')), ('e2', SVC(C=10.0, class_weight='balanced', probability=True)), ('e3', RandomForestClassifier(max_features='sqrt', n_estimators=500, n_jobs=-1))])])","('sulphates', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'citric acid', 'volatile acidity', 'fixed acidity')",8,1.0946578000002773,0.002382916562501691,2848.234375,0.44537888071895426,0.6582732233852087,0.6490750290912938,0.66875,0.8444198739302256,"[[  0   0   1   1   0   0]
 [  0   0   7   4   0   0]
 [  0   1 100  27   8   0]
 [  1   1  28  89   9   0]
 [  0   0   2  15  23   0]
 [  0   0   0   1   0   2]]"
<class 'sklearn.ensemble._voting.VotingClassifier'>,"OrderedDict([('n_jobs', -1), ('voting', 'soft'), ('estimators', [('e1', DecisionTreeClassifier(criterion='entropy')), ('e2', SVC(C=10.0, class_weight='balanced', probability=True)), ('e3', RandomForestClassifier(max_features='sqrt', n_estimators=500, n_jobs=-1))])])","('sulphates', 'density', 'total sulfur dioxide', 'chlorides', 'citric acid', 'volatile acidity', 'fixed acidity')",7,1.6384077000002435,0.00301251749999949,2926.58203125,0.4449652777777777,0.6643420836716012,0.6547915797524684,0.675,0.8493738021363043,"[[  0   1   0   1   0   0]
 [  0   0   6   5   0   0]
 [  0   1 102  27   6   0]
 [  1   0  28  90   8   1]
 [  0   1   5  12  22   0]
 [  0   0   0   1   0   2]]"
