algorithm,features,n_features,train_time,mem_max,balanced_accuracy,f1_weighted,precision_weighted,recall_weighted,roc_auc_ovr_weighted,confusion_matrix
KNeighborsClassifier(n_jobs=-1),"('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'citric acid', 'volatile acidity', 'fixed acidity')",9,24.6090789,1441.25,0.2502297794117647,0.5248226773226774,0.5309857293868923,0.55,0.7150274064486396,"[[ 0  0  1  1  0  0]
 [ 0  0  7  4  0  0]
 [ 0  1 99 35  1  0]
 [ 0  0 57 67  4  0]
 [ 0  0  7 23 10  0]
 [ 0  0  1  2  0  0]]"
GaussianNB(),"('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'citric acid', 'volatile acidity', 'fixed acidity')",9,10.938172199999997,1437.55078125,0.22769607843137254,0.48178026953889025,0.486989393939394,0.478125,0.6763167353542546,"[[ 0  2  0  0  0  0]
 [ 0  0  7  4  0  0]
 [ 0 10 77 40  9  0]
 [ 0  2 37 64 25  0]
 [ 0  1  4 23 12  0]
 [ 0  0  0  1  2  0]]"
MultinomialNB(),"('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'citric acid', 'volatile acidity', 'fixed acidity')",9,10.752192800000003,1440.21875,0.18995098039215685,0.3958385416666667,0.3851366487455197,0.478125,0.6357145165742576,"[[  0   0   2   0   0   0]
 [  0   0  10   1   0   0]
 [  0   0 121  15   0   0]
 [  0   0  96  32   0   0]
 [  0   0  18  22   0   0]
 [  0   0   1   2   0   0]]"
BernoulliNB(),"('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'citric acid', 'volatile acidity', 'fixed acidity')",9,8.936751799999996,1441.03515625,0.16551776960784315,0.2575417488162041,0.31298633017875915,0.421875,0.5006421485548926,"[[  0   0   2   0   0   0]
 [  0   0  11   0   0   0]
 [  0   0 134   2   0   0]
 [  0   0 127   1   0   0]
 [  0   0  40   0   0   0]
 [  0   0   3   0   0   0]]"
DecisionTreeClassifier(),"('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'citric acid', 'volatile acidity', 'fixed acidity')",9,13.438222499999995,1455.53515625,0.3924989787581699,0.5820672901395794,0.5847050629844961,0.58125,0.6831102791237146,"[[ 0  0  1  1  0  0]
 [ 0  0  8  3  0  0]
 [ 1  4 90 34  5  2]
 [ 2  2 25 77 21  1]
 [ 0  2  4 16 17  1]
 [ 0  0  0  1  0  2]]"
MLPClassifier(),"('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'citric acid', 'volatile acidity', 'fixed acidity')",9,71.16079389999999,1477.890625,0.2403799019607843,0.5219673763861392,0.5308584155530578,0.553125,0.7308469126659927,"[[ 0  0  2  0  0  0]
 [ 0  0  9  2  0  0]
 [ 0  0 95 40  1  0]
 [ 0  0 49 76  3  0]
 [ 0  0  2 32  6  0]
 [ 0  0  0  3  0  0]]"
SVC(probability=True),"('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'citric acid', 'volatile acidity', 'fixed acidity')",9,196.78257269999997,1498.6796875,0.2669424019607843,0.5654944192046665,0.5712662363319041,0.56875,0.7000325411464865,"[[ 0  1  0  1  0  0]
 [ 0  0  8  3  0  0]
 [ 1  5 95 33  0  2]
 [ 2  2 37 74 10  3]
 [ 0  3  6 18 13  0]
 [ 0  0  1  2  0  0]]"
DecisionTreeClassifier(),"('sulphates', 'pH', 'density', 'total sulfur dioxide', 'chlorides', 'citric acid', 'volatile acidity', 'fixed acidity')",8,13.305847099999994,1486.7421875,0.3526157716874629,0.6016358817932969,0.6033372795183818,0.603125,0.6955502400725531,"[[ 0  1  0  1  0  0]
 [ 0  1  5  5  0  0]
 [ 1  8 90 34  3  0]
 [ 0  1 23 87 15  2]
 [ 0  2  8 16 14  0]
 [ 0  0  1  0  1  1]]"
