algorithm,params,features,n_features,train_time,predict_time,mem_max,balanced_accuracy,f1_weighted,precision_weighted,recall_weighted,roc_auc_ovr_weighted,confusion_matrix
"SVC(C=0.01, class_weight='balanced', gamma='auto', probability=True)","OrderedDict([('C', 10.0), ('class_weight', 'balanced'), ('gamma', 'auto')])","('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'residual sugar', 'citric acid', 'volatile acidity', 'fixed acidity')",10,0.5806196000000909,0.0006000237499996786,1472.6484375,0.46983158793820556,0.3712394609584966,0.5175579570711548,0.315625,0.7324392412201535,"[[ 2  0  0  0  0  0]
 [ 3  3  4  0  0  1]
 [22 26 58 22  6  2]
 [15 14 27 26 26 20]
 [ 1  4  0  2 10 23]
 [ 0  1  0  0  0  2]]"
"SVC(C=0.01, class_weight='balanced', gamma='auto', probability=True)","OrderedDict([('C', 1.0), ('class_weight', 'balanced'), ('gamma', 'scale')])","('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'residual sugar', 'citric acid', 'volatile acidity', 'fixed acidity')",10,0.545735200000081,0.0005829034375004483,1473.2265625,0.4382204396910279,0.4402509760031905,0.5243515429820576,0.41875,0.742587597085717,"[[ 1  1  0  0  0  0]
 [ 2  4  3  1  1  0]
 [ 3 30 69 27  7  0]
 [ 3 12 36 32 37  8]
 [ 1  1  0  3 27  8]
 [ 0  0  0  0  2  1]]"
"SVC(C=0.01, class_weight='balanced', gamma='auto', probability=True)","OrderedDict([('C', 1.0), ('class_weight', 'balanced'), ('gamma', 'auto')])","('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'residual sugar', 'citric acid', 'volatile acidity', 'fixed acidity')",10,0.73421089999988,0.0005599353124999595,1472.3046875,0.4254549168152109,0.2939022290855312,0.5263303227598616,0.228125,0.6850988572532122,"[[ 2  0  0  0  0  0]
 [ 5  4  1  0  0  1]
 [24 37 43 17 10  5]
 [15 25 16 20 19 33]
 [ 1  4  1  0  2 32]
 [ 0  1  0  0  0  2]]"
"SVC(C=0.01, class_weight='balanced', gamma='auto', probability=True)","OrderedDict([('C', 100.0), ('class_weight', 'balanced'), ('gamma', 'auto')])","('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'residual sugar', 'citric acid', 'volatile acidity', 'fixed acidity')",10,0.5480139000001145,0.0005582418750002205,1472.8046875,0.3758211712715389,0.46673987050960736,0.5642243284472063,0.425,0.7491979235056904,"[[ 0  2  0  0  0  0]
 [ 3  3  3  1  1  0]
 [10 24 75 21  4  2]
 [ 6  9 38 37 26 12]
 [ 2  1  0  2 19 16]
 [ 0  0  0  1  0  2]]"
"LogisticRegression(C=0.01, n_jobs=-1)","OrderedDict([('C', 100.0)])","('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'residual sugar', 'citric acid', 'volatile acidity', 'fixed acidity')",10,0.06104809999987992,3.174718749932026e-05,2033.2265625,0.37173852495543674,0.5696578202547752,0.5700676638176639,0.584375,0.7460132290383502,"[[  1   1   0   0   0   0]
 [  0   1   6   4   0   0]
 [  1   1 101  33   0   0]
 [  0   0  48  70  10   0]
 [  0   0   1  25  14   0]
 [  0   0   0   3   0   0]]"
"LogisticRegression(C=0.01, n_jobs=-1)","OrderedDict([('C', 1000.0)])","('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'residual sugar', 'citric acid', 'volatile acidity', 'fixed acidity')",10,0.05860979999988558,2.9865312500021445e-05,2033.25,0.3704364416221034,0.5664136501557608,0.5668777925658334,0.58125,0.7424975138261445,"[[  1   1   0   0   0   0]
 [  0   1   6   4   0   0]
 [  1   1 101  33   0   0]
 [  0   0  49  69  10   0]
 [  0   0   1  25  14   0]
 [  0   0   0   3   0   0]]"
DecisionTreeClassifier(criterion='entropy'),"OrderedDict([('criterion', 'gini')])","('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'residual sugar', 'citric acid', 'volatile acidity', 'fixed acidity')",10,0.007776899999953457,2.9042812499824322e-05,1609.16796875,0.36337594696969694,0.6556765514176596,0.6533726976341969,0.659375,0.7388511104418068,"[[  0   1   1   0   0   0]
 [  0   2   6   1   2   0]
 [  1   2 102  28   3   0]
 [  0   3  26  83  16   0]
 [  0   0   4  10  24   2]
 [  0   0   1   1   1   0]]"
"RandomForestClassifier(max_depth=25, max_features=None, n_estimators=800,
                       n_jobs=-1)","OrderedDict([('max_depth', None), ('max_features', 'sqrt'), ('min_samples_leaf', 1), ('min_samples_split', 2), ('n_estimators', 500)])","('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'residual sugar', 'citric acid', 'volatile acidity', 'fixed acidity')",10,0.7092358999998396,0.0015228571874999375,1744.046875,0.34640012254901964,0.6997828894720495,0.6964031350814791,0.721875,0.8569339159773512,"[[  0   1   1   0   0   0]
 [  0   0  10   1   0   0]
 [  0   0 115  21   0   0]
 [  0   0  29  97   2   0]
 [  0   0   2  19  19   0]
 [  0   0   0   2   1   0]]"
"RandomForestClassifier(max_depth=25, max_features=None, n_estimators=800,
                       n_jobs=-1)","OrderedDict([('max_depth', 15), ('max_features', None), ('min_samples_leaf', 1), ('min_samples_split', 2), ('n_estimators', 300)])","('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'residual sugar', 'citric acid', 'volatile acidity', 'fixed acidity')",10,0.5232866999999715,0.0009803074999993554,1727.0703125,0.3400428921568628,0.6848964036394366,0.6723554489741541,0.70625,0.8540701261568202,"[[  0   1   1   0   0   0]
 [  0   0   9   2   0   0]
 [  0   0 113  22   1   0]
 [  0   0  28  94   6   0]
 [  0   0   2  19  19   0]
 [  0   0   0   2   1   0]]"
HistGradientBoostingClassifier(),"OrderedDict([('warm_start', True)])","('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'residual sugar', 'citric acid', 'volatile acidity', 'fixed acidity')",10,5.462223900000026,0.0004635009374993615,2030.0859375,0.33938419117647056,0.6771958890891819,0.6629720145677592,0.696875,0.829847591385829,"[[  0   0   2   0   0   0]
 [  0   0   9   2   0   0]
 [  0   1 108  26   1   0]
 [  0   0  26  95   7   0]
 [  0   0   3  17  20   0]
 [  0   0   0   1   2   0]]"
HistGradientBoostingClassifier(),"OrderedDict([('warm_start', False)])","('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'residual sugar', 'citric acid', 'volatile acidity', 'fixed acidity')",10,5.369594199999938,0.00044576281249959494,2029.96484375,0.33938419117647056,0.6771958890891819,0.6629720145677592,0.696875,0.829847591385829,"[[  0   0   2   0   0   0]
 [  0   0   9   2   0   0]
 [  0   1 108  26   1   0]
 [  0   0  26  95   7   0]
 [  0   0   3  17  20   0]
 [  0   0   0   1   2   0]]"
"RandomForestClassifier(max_depth=25, max_features=None, n_estimators=800,
                       n_jobs=-1)","OrderedDict([('max_depth', 20), ('max_features', 'sqrt'), ('min_samples_leaf', 1), ('min_samples_split', 2), ('n_estimators', 800)])","('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'residual sugar', 'citric acid', 'volatile acidity', 'fixed acidity')",10,1.1291795000001912,0.0025510346875009305,1770.390625,0.33684129901960785,0.6879725985084134,0.6898163462120823,0.7125,0.8561680471265094,"[[  0   0   2   0   0   0]
 [  0   0  10   1   0   0]
 [  0   0 114  22   0   0]
 [  0   0  30  97   1   0]
 [  0   0   2  21  17   0]
 [  0   0   0   2   1   0]]"
"RandomForestClassifier(max_depth=25, max_features=None, n_estimators=800,
                       n_jobs=-1)","OrderedDict([('max_depth', 25), ('max_features', 'sqrt'), ('min_samples_leaf', 1), ('min_samples_split', 2), ('n_estimators', 120)])","('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'residual sugar', 'citric acid', 'volatile acidity', 'fixed acidity')",10,0.17876710000018647,0.0004675774999995497,1716.546875,0.3340992647058824,0.66490325572658,0.6559583402209301,0.684375,0.8563432998899266,"[[  0   1   1   0   0   0]
 [  0   0   9   2   0   0]
 [  0   0 109  27   0   0]
 [  0   0  33  90   5   0]
 [  0   0   2  18  20   0]
 [  0   0   0   2   1   0]]"
"SVC(C=0.01, class_weight='balanced', gamma='auto', probability=True)","OrderedDict([('C', 10.0), ('class_weight', 'balanced'), ('gamma', 'scale')])","('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'residual sugar', 'citric acid', 'volatile acidity', 'fixed acidity')",10,0.42957849999993414,0.0005094209375002378,1472.83203125,0.3323125557040998,0.5237022059156589,0.5693481616553847,0.5,0.7655603881286782,"[[ 0  2  0  0  0  0]
 [ 2  4  3  2  0  0]
 [ 5 20 77 30  4  0]
 [ 3  8 34 53 27  3]
 [ 1  0  0  9 26  4]
 [ 0  0  0  1  2  0]]"
"XGBClassifier(alpha=0.1, base_score=0.5, booster='gbtree', colsample_bylevel=1,
              colsample_bynode=1, colsample_bytree=0.8,
              enable_categorical=False, eta=0.05, eval_metric='mlogloss',
              gamma=0.05, gpu_id=-1, importance_type=None,
              interaction_constraints='', lambda=0.01,
              learning_rate=0.0500000007, max_delta_step=0, max_depth=7,
              min_child_weight=3, missing=nan, monotone_constraints='()',
              n_estimators=100, n_jobs=12, num_parallel_tree=1,
              objective='multi:softprob', predictor='auto', random_state=0,
              reg_alpha=1, reg_lambda=0.00999999978, scale_pos_weight=None,
              subsample=0.8, ...)","OrderedDict([('alpha', 0.5), ('colsample_bytree', 0.7), ('eta', 0.015), ('gamma', 0.1), ('lambda', 0.1), ('max_depth', 9), ('min_child_weight', 3), ('subsample', 0.7)])","('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'residual sugar', 'citric acid', 'volatile acidity', 'fixed acidity')",10,0.6042145000001256,0.00011839499999979352,2001.6796875,0.33204656862745097,0.6721334969713765,0.6619480519480521,0.69375,0.8222339377439081,"[[  0   1   1   0   0   0]
 [  0   0   9   2   0   0]
 [  0   0 112  24   0   0]
 [  0   0  31  92   5   0]
 [  0   0   1  21  18   0]
 [  0   0   0   1   2   0]]"
"XGBClassifier(alpha=0.1, base_score=0.5, booster='gbtree', colsample_bylevel=1,
              colsample_bynode=1, colsample_bytree=0.8,
              enable_categorical=False, eta=0.05, eval_metric='mlogloss',
              gamma=0.05, gpu_id=-1, importance_type=None,
              interaction_constraints='', lambda=0.01,
              learning_rate=0.0500000007, max_delta_step=0, max_depth=7,
              min_child_weight=3, missing=nan, monotone_constraints='()',
              n_estimators=100, n_jobs=12, num_parallel_tree=1,
              objective='multi:softprob', predictor='auto', random_state=0,
              reg_alpha=1, reg_lambda=0.00999999978, scale_pos_weight=None,
              subsample=0.8, ...)","OrderedDict([('alpha', 0.5), ('colsample_bytree', 0.7), ('eta', 0.025), ('gamma', 0.7), ('lambda', 0.01), ('max_depth', 12), ('min_child_weight', 1), ('subsample', 0.7)])","('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'residual sugar', 'citric acid', 'volatile acidity', 'fixed acidity')",10,0.821130699999685,0.00012156062499997233,2015.19140625,0.33204656862745097,0.6722911155265872,0.6713204783200718,0.69375,0.8348643020565394,"[[  0   1   1   0   0   0]
 [  0   0   8   3   0   0]
 [  0   0 112  24   0   0]
 [  0   0  35  92   1   0]
 [  0   0   1  21  18   0]
 [  0   0   0   1   2   0]]"
"XGBClassifier(alpha=0.1, base_score=0.5, booster='gbtree', colsample_bylevel=1,
              colsample_bynode=1, colsample_bytree=0.8,
              enable_categorical=False, eta=0.05, eval_metric='mlogloss',
              gamma=0.05, gpu_id=-1, importance_type=None,
              interaction_constraints='', lambda=0.01,
              learning_rate=0.0500000007, max_delta_step=0, max_depth=7,
              min_child_weight=3, missing=nan, monotone_constraints='()',
              n_estimators=100, n_jobs=12, num_parallel_tree=1,
              objective='multi:softprob', predictor='auto', random_state=0,
              reg_alpha=1, reg_lambda=0.00999999978, scale_pos_weight=None,
              subsample=0.8, ...)","OrderedDict([('alpha', 0.5), ('colsample_bytree', 0.7), ('eta', 0.025), ('gamma', 0.05), ('lambda', 0.1), ('max_depth', 12), ('min_child_weight', 1), ('subsample', 0.9)])","('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'residual sugar', 'citric acid', 'volatile acidity', 'fixed acidity')",10,0.8490767999996933,0.0001272818750010174,2002.421875,0.331234681372549,0.6631255487269536,0.6507407407407408,0.684375,0.8382551346242548,"[[  0   0   2   0   0   0]
 [  0   0   8   3   0   0]
 [  0   0 109  26   1   0]
 [  0   0  32  91   5   0]
 [  0   0   2  19  19   0]
 [  0   0   0   1   2   0]]"
"XGBClassifier(alpha=0.1, base_score=0.5, booster='gbtree', colsample_bylevel=1,
              colsample_bynode=1, colsample_bytree=0.8,
              enable_categorical=False, eta=0.05, eval_metric='mlogloss',
              gamma=0.05, gpu_id=-1, importance_type=None,
              interaction_constraints='', lambda=0.01,
              learning_rate=0.0500000007, max_delta_step=0, max_depth=7,
              min_child_weight=3, missing=nan, monotone_constraints='()',
              n_estimators=100, n_jobs=12, num_parallel_tree=1,
              objective='multi:softprob', predictor='auto', random_state=0,
              reg_alpha=1, reg_lambda=0.00999999978, scale_pos_weight=None,
              subsample=0.8, ...)","OrderedDict([('alpha', 0.0), ('colsample_bytree', 0.7), ('eta', 0.015), ('gamma', 0.05), ('lambda', 0.1), ('max_depth', 12), ('min_child_weight', 1), ('subsample', 0.9)])","('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'residual sugar', 'citric acid', 'volatile acidity', 'fixed acidity')",10,0.866241600000194,0.00012654906250020304,2022.00390625,0.331234681372549,0.6631255487269536,0.6507407407407408,0.684375,0.8382551346242548,"[[  0   0   2   0   0   0]
 [  0   0   8   3   0   0]
 [  0   0 109  26   1   0]
 [  0   0  32  91   5   0]
 [  0   0   2  19  19   0]
 [  0   0   0   1   2   0]]"
