algorithm,params,features,n_features,train_time,predict_time,mem_max,balanced_accuracy,f1_weighted,precision_weighted,recall_weighted,roc_auc_ovr_weighted,confusion_matrix
<class 'sklearn.neighbors._classification.KNeighborsClassifier'>,"{'metric': 'euclidean', 'n_jobs': -1, 'n_neighbors': 3}","('fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'chlorides', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol')",11,0.0033583000000021457,0.0004118909374999813,1422.3125,0.2742953431372549,0.5793033666112098,0.572706637898578,0.5875,0.7303981719581005,"[[  0   1   1   0   0   0]
 [  2   0   5   4   0   0]
 [  1   3 101  28   3   0]
 [  0   3  36  74  15   0]
 [  0   0   3  22  13   2]
 [  0   0   0   1   2   0]]"
<class 'sklearn.neighbors._classification.KNeighborsClassifier'>,"{'metric': 'euclidean', 'n_jobs': -1, 'n_neighbors': 11}","('fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'chlorides', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol')",11,0.0045418999999995435,0.00036343312500000116,1422.61328125,0.2746323529411765,0.5654756929191953,0.5516065262919568,0.58125,0.7290361572077042,"[[  0   1   1   0   0   0]
 [  0   0   8   3   0   0]
 [  0   1 100  30   5   0]
 [  0   1  39  72  16   0]
 [  0   0   3  23  14   0]
 [  0   0   0   2   1   0]]"
<class 'sklearn.neighbors._classification.KNeighborsClassifier'>,"{'metric': 'euclidean', 'n_jobs': -1, 'n_neighbors': 17}","('fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'chlorides', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol')",11,0.0037073000000020784,0.0003277178124999836,1423.27734375,0.26652879901960785,0.5567026691987129,0.5412496354267937,0.575,0.7445915412223152,"[[ 0  1  1  0  0  0]
 [ 0  0  9  2  0  0]
 [ 0  0 97 35  4  0]
 [ 0  0 39 75 14  0]
 [ 0  0  2 26 12  0]
 [ 0  0  0  1  2  0]]"
<class 'sklearn.neighbors._classification.KNeighborsClassifier'>,"{'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 3}","('fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'chlorides', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol')",11,0.0032136999999963223,0.0003358134374999988,1423.0625,0.26786151960784316,0.5637430149680605,0.5590622612681436,0.571875,0.7372590687291521,"[[  0   0   2   0   0   0]
 [  1   0   6   4   0   0]
 [  0   6 100  26   4   0]
 [  0   1  41  70  16   0]
 [  1   2   4  18  13   2]
 [  0   0   1   1   1   0]]"
<class 'sklearn.neighbors._classification.KNeighborsClassifier'>,"{'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 11}","('fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'chlorides', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol')",11,0.009499499999996885,0.00039323968750000217,1423.16796875,0.2705116421568628,0.5664186615731263,0.5508860351652398,0.584375,0.733787228846856,"[[ 0  0  2  0  0  0]
 [ 0  0  8  3  0  0]
 [ 0  0 96 34  6  0]
 [ 0  0 34 79 15  0]
 [ 0  0  2 26 12  0]
 [ 0  0  0  2  1  0]]"
<class 'sklearn.neighbors._classification.KNeighborsClassifier'>,"{'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 17}","('fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'chlorides', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol')",11,0.0035860999999997034,0.00035636999999999475,1423.09375,0.27424938725490194,0.5598411896148117,0.5430752509337068,0.58125,0.7319785094409041,"[[  0   0   2   0   0   0]
 [  0   0   7   4   0   0]
 [  0   0 105  28   3   0]
 [  0   0  45  67  16   0]
 [  0   0   1  25  14   0]
 [  0   0   0   2   1   0]]"
<class 'sklearn.neighbors._classification.KNeighborsClassifier'>,"{'metric': 'minkowski', 'n_jobs': -1, 'n_neighbors': 3}","('fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'chlorides', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol')",11,0.004663399999998319,0.00031792218749999713,1423.16015625,0.2742953431372549,0.5793033666112098,0.572706637898578,0.5875,0.7303981719581005,"[[  0   1   1   0   0   0]
 [  2   0   5   4   0   0]
 [  1   3 101  28   3   0]
 [  0   3  36  74  15   0]
 [  0   0   3  22  13   2]
 [  0   0   0   1   2   0]]"
<class 'sklearn.neighbors._classification.KNeighborsClassifier'>,"{'metric': 'minkowski', 'n_jobs': -1, 'n_neighbors': 11}","('fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'chlorides', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol')",11,0.0031801000000015733,0.00032140187499998254,1423.45703125,0.2746323529411765,0.5654756929191953,0.5516065262919568,0.58125,0.7290361572077042,"[[  0   1   1   0   0   0]
 [  0   0   8   3   0   0]
 [  0   1 100  30   5   0]
 [  0   1  39  72  16   0]
 [  0   0   3  23  14   0]
 [  0   0   0   2   1   0]]"
<class 'sklearn.neighbors._classification.KNeighborsClassifier'>,"{'metric': 'minkowski', 'n_jobs': -1, 'n_neighbors': 17}","('fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'chlorides', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol')",11,0.0032122000000001094,0.00032611343750001966,1423.16015625,0.26652879901960785,0.5567026691987129,0.5412496354267937,0.575,0.7445915412223152,"[[ 0  1  1  0  0  0]
 [ 0  0  9  2  0  0]
 [ 0  0 97 35  4  0]
 [ 0  0 39 75 14  0]
 [ 0  0  2 26 12  0]
 [ 0  0  0  1  2  0]]"
<class 'sklearn.naive_bayes.GaussianNB'>,{'priors': None},"('fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'chlorides', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol')",11,0.002255599999998026,3.7088750000013884e-05,1423.3828125,0.48489629753416524,0.5646725694576533,0.5746581732108048,0.5625,0.7541052440911005,"[[ 1  0  1  0  0  0]
 [ 0  4  6  1  0  0]
 [ 3  6 92 33  2  0]
 [ 0  3 35 59 30  1]
 [ 0  1  1 15 23  0]
 [ 0  0  0  0  2  1]]"
