algorithm,features,n_features,train_time,mem_max,f1_weighted,accuracy,roc_auc_ovr_weighted,confusion_matrix
KNeighborsClassifier(n_jobs=-1),"('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'residual sugar', 'citric acid', 'volatile acidity', 'fixed acidity')",10,22.937863000000107,1456.5390625,0.5381501145223184,0.55,0.6997326218756111,"[[ 0  0  1  1  0  0]
 [ 0  1  8  2  0  0]
 [ 0  0 89 47  0  0]
 [ 0  1 47 70 10  0]
 [ 0  0  3 21 16  0]
 [ 0  0  0  3  0  0]]"
GaussianNB(),"('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'residual sugar', 'citric acid', 'volatile acidity', 'fixed acidity')",10,9.960951399999885,1452.3125,0.4924024220619104,0.496875,0.6947676147140529,"[[ 0  1  0  1  0  0]
 [ 1  3  3  4  0  0]
 [ 0  8 54 67  7  0]
 [ 0  5 23 84 16  0]
 [ 0  0  2 20 18  0]
 [ 0  0  0  2  1  0]]"
