algorithm,params,features,n_features,train_time,predict_time,mem_max,balanced_accuracy,f1_weighted,precision_weighted,recall_weighted,roc_auc_ovr_weighted,confusion_matrix
<class 'sklearn.svm._classes.SVC'>,"OrderedDict([('C', 10.0), ('class_weight', 'balanced'), ('gamma', 'scale'), ('probability', True)])","('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'residual sugar', 'citric acid', 'volatile acidity', 'fixed acidity')",10,0.45030270000006567,0.0005270962499999143,1476.0078125,0.4304311497326203,0.48424985656302066,0.5434254061156236,0.4625,0.7548636864791635,"[[ 1  1  0  0  0  0]
 [ 2  6  2  1  0  0]
 [ 0 24 62 44  4  2]
 [ 0  9 28 52 31  8]
 [ 0  2  0  8 27  3]
 [ 0  0  0  0  3  0]]"
<class 'sklearn.svm._classes.SVC'>,"OrderedDict([('C', 1000.0), ('class_weight', None), ('gamma', 'scale'), ('probability', True)])","('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'residual sugar', 'citric acid', 'volatile acidity', 'fixed acidity')",10,2.322300499999983,0.00044759749999983,1475.62890625,0.3645262366310161,0.6080761643306477,0.6116318971916368,0.60625,0.739168501499748,"[[ 0  1  1  0  0  0]
 [ 1  3  6  1  0  0]
 [ 1  7 91 33  3  1]
 [ 1  4 35 73 14  1]
 [ 0  0  4  9 27  0]
 [ 0  0  0  2  1  0]]"
<class 'sklearn.svm._classes.SVC'>,"OrderedDict([('C', 100.0), ('class_weight', None), ('gamma', 'scale'), ('probability', True)])","('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'residual sugar', 'citric acid', 'volatile acidity', 'fixed acidity')",10,0.7085748999998032,0.0004680574999994747,1475.3984375,0.35979138814616757,0.6211057692307691,0.6162878787878788,0.628125,0.7600428897918233,"[[ 0  0  2  0  0  0]
 [ 1  2  7  1  0  0]
 [ 0  3 91 38  4  0]
 [ 0  1 34 81 12  0]
 [ 0  0  2 11 27  0]
 [ 0  0  0  1  2  0]]"
<class 'sklearn.svm._classes.SVC'>,"OrderedDict([('C', 1.0), ('class_weight', 'balanced'), ('gamma', 'auto'), ('probability', True)])","('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'residual sugar', 'citric acid', 'volatile acidity', 'fixed acidity')",10,0.7581643999999415,0.0005912581250001381,1475.46875,0.3524709410279263,0.2953097372635643,0.47609169957143915,0.246875,0.6790640845681593,"[[ 1  1  0  0  0  0]
 [ 2  7  0  0  0  2]
 [11 38 48 16  8 15]
 [ 3 31 31 15 14 34]
 [ 0  4  1  0  7 28]
 [ 0  1  0  1  0  1]]"
<class 'sklearn.svm._classes.SVC'>,"OrderedDict([('C', 100.0), ('class_weight', 'balanced'), ('gamma', 'scale'), ('probability', True)])","('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'residual sugar', 'citric acid', 'volatile acidity', 'fixed acidity')",10,0.594407799999999,0.0004915443750000747,1475.66796875,0.346173128342246,0.5815552148065662,0.6034734912795184,0.571875,0.7631217394797873,"[[ 0  1  1  0  0  0]
 [ 1  2  7  1  0  0]
 [ 0 17 75 38  5  1]
 [ 0  5 26 76 20  1]
 [ 0  0  1  8 30  1]
 [ 0  0  0  1  2  0]]"
<class 'sklearn.ensemble._hist_gradient_boosting.gradient_boosting.HistGradientBoostingClassifier'>,"OrderedDict([('warm_start', False)])","('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'residual sugar', 'citric acid', 'volatile acidity', 'fixed acidity')",10,5.5692902999999205,0.00048129781249883763,1867.41015625,0.3418504901960784,0.6664694041867955,0.6539763581488934,0.68125,0.824579760945529,"[[  0   0   2   0   0   0]
 [  0   0   7   4   0   0]
 [  0   2 103  29   2   0]
 [  0   1  27  92   8   0]
 [  0   0   1  16  23   0]
 [  0   0   0   1   2   0]]"
<class 'sklearn.ensemble._hist_gradient_boosting.gradient_boosting.HistGradientBoostingClassifier'>,"OrderedDict([('warm_start', True)])","('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'residual sugar', 'citric acid', 'volatile acidity', 'fixed acidity')",10,5.537952899999709,0.0004799078124989364,1867.30859375,0.3418504901960784,0.6664694041867955,0.6539763581488934,0.68125,0.824579760945529,"[[  0   0   2   0   0   0]
 [  0   0   7   4   0   0]
 [  0   2 103  29   2   0]
 [  0   1  27  92   8   0]
 [  0   0   1  16  23   0]
 [  0   0   0   1   2   0]]"
<class 'xgboost.sklearn.XGBClassifier'>,"OrderedDict([('alpha', 0.5), ('colsample_bytree', 0.8), ('eta', 0.05), ('eval_metric', 'mlogloss'), ('gamma', 0.3), ('lambda', 0.01), ('max_depth', 15), ('min_child_weight', 3), ('subsample', 0.8), ('use_label_encoder', False)])","('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'residual sugar', 'citric acid', 'volatile acidity', 'fixed acidity')",10,0.7653841999999713,0.0001298318750002636,1857.55078125,0.334420955882353,0.6486029823785298,0.6392743918219462,0.6625,0.820177039943278,"[[ 0  1  1  0  0  0]
 [ 0  0  7  4  0  0]
 [ 0  2 98 35  1  0]
 [ 0  0 31 91  6  0]
 [ 0  0  1 16 23  0]
 [ 0  0  0  1  2  0]]"
<class 'xgboost.sklearn.XGBClassifier'>,"OrderedDict([('alpha', 0.0), ('colsample_bytree', 0.8), ('eta', 0.01), ('eval_metric', 'mlogloss'), ('gamma', 0.5), ('lambda', 0.1), ('max_depth', 9), ('min_child_weight', 5), ('subsample', 0.8), ('use_label_encoder', False)])","('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'residual sugar', 'citric acid', 'volatile acidity', 'fixed acidity')",10,0.6068670999998176,0.000125600312500751,1844.1328125,0.3318933823529412,0.6418888367949739,0.6340268054013165,0.65625,0.8070412485787852,"[[ 0  1  1  0  0  0]
 [ 0  0  7  4  0  0]
 [ 0  1 97 38  0  0]
 [ 0  0 33 90  5  0]
 [ 0  0  1 16 23  0]
 [ 0  0  0  1  2  0]]"
<class 'xgboost.sklearn.XGBClassifier'>,"OrderedDict([('alpha', 0.5), ('colsample_bytree', 0.7), ('eta', 0.015), ('eval_metric', 'mlogloss'), ('gamma', 0.7), ('lambda', 0.1), ('max_depth', 9), ('min_child_weight', 3), ('subsample', 0.8), ('use_label_encoder', False)])","('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'residual sugar', 'citric acid', 'volatile acidity', 'fixed acidity')",10,0.6756144000000859,0.0001235631249997482,1846.0546875,0.3310049019607843,0.63390400353904,0.6253135163102395,0.646875,0.8064196717898714,"[[ 0  1  1  0  0  0]
 [ 0  0  7  4  0  0]
 [ 0  2 95 38  1  0]
 [ 0  0 35 88  5  0]
 [ 0  0  1 15 24  0]
 [ 0  0  0  1  2  0]]"
