algorithm,params,features,n_features,train_time,mem_max,balanced_accuracy,f1_weighted,precision_weighted,recall_weighted,roc_auc_ovr_weighted,confusion_matrix
KNeighborsClassifier(n_jobs=-1),"OrderedDict([('metric', 'euclidean'), ('n_neighbors', 17)])","('fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'chlorides', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol')",11,32.12454559999992,1443.40234375,0.26018688725490197,0.5488211001895726,0.5374400198195378,0.575,0.7551143868231296,"[[  0   1   0   1   0   0]
 [  0   0   9   2   0   0]
 [  0   0 105  31   0   0]
 [  0   0  49  69  10   0]
 [  0   0   2  28  10   0]
 [  0   0   1   1   1   0]]"
KNeighborsClassifier(n_jobs=-1),"OrderedDict([('metric', 'manhattan'), ('n_neighbors', 17)])","('volatile acidity', 'citric acid', 'residual sugar', 'chlorides', 'free sulfur dioxide', 'total sulfur dioxide', 'pH', 'sulphates', 'alcohol')",9,23.554515400000014,1445.2578125,0.28935355392156864,0.5754077318030806,0.5620878787878788,0.596875,0.7663309452971164,"[[  0   0   1   1   0   0]
 [  0   0   8   3   0   0]
 [  0   0 105  29   2   0]
 [  0   0  48  69  11   0]
 [  0   0   3  20  17   0]
 [  0   0   0   3   0   0]]"
