algorithm,params,features,n_features,train_time,predict_time,mem_max,balanced_accuracy,f1_weighted,precision_weighted,recall_weighted,roc_auc_ovr_weighted,confusion_matrix
<class 'sklearn.ensemble._voting.VotingClassifier'>,"OrderedDict([('n_jobs', -1), ('voting', 'soft'), ('estimators', [('e1', DecisionTreeClassifier()), ('e2', HistGradientBoostingClassifier()), ('e3', RandomForestClassifier(max_features='sqrt', n_estimators=500, n_jobs=-1))])])","('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'citric acid', 'volatile acidity', 'fixed acidity')",9,6.281660800000282,0.0028025865624982773,2322.98046875,0.3869308897801545,0.6221748642053132,0.6312665343915344,0.634375,0.8120796075612983,"[[  0   0   2   0   0   0]
 [  0   2   7   1   1   0]
 [  0   1 105  29   1   0]
 [  0   0  42  78   8   0]
 [  0   0   6  17  17   0]
 [  0   0   0   1   1   1]]"
<class 'sklearn.ensemble._voting.VotingClassifier'>,"OrderedDict([('n_jobs', -1), ('voting', 'soft'), ('estimators', [('e1', DecisionTreeClassifier()), ('e2', HistGradientBoostingClassifier()), ('e3', RandomForestClassifier(max_features='sqrt', n_estimators=500, n_jobs=-1))])])","('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'citric acid', 'volatile acidity', 'fixed acidity')",9,6.040442800000164,0.0030383078124998518,2047.8671875,0.3784736148247178,0.6281518249927425,0.625438290229885,0.640625,0.815179213563755,"[[  0   0   1   1   0   0]
 [  0   1   7   1   2   0]
 [  0   1 106  28   0   1]
 [  0   2  38  79   8   1]
 [  0   0   7  15  18   0]
 [  0   0   0   1   1   1]]"
<class 'sklearn.ensemble._voting.VotingClassifier'>,"OrderedDict([('n_jobs', -1), ('voting', 'soft'), ('estimators', [('e1', DecisionTreeClassifier()), ('e2', HistGradientBoostingClassifier()), ('e3', RandomForestClassifier(max_features='sqrt', n_estimators=500, n_jobs=-1))])])","('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'citric acid', 'volatile acidity', 'fixed acidity')",9,5.978933200000029,0.002958124375001603,1995.796875,0.3754252079619727,0.6337591793474144,0.628103132951654,0.646875,0.8148383305015855,"[[  0   0   2   0   0   0]
 [  0   1   8   1   1   0]
 [  0   2 105  29   0   0]
 [  0   1  31  84  12   0]
 [  0   0   7  16  16   1]
 [  0   0   0   1   1   1]]"
<class 'sklearn.ensemble._voting.VotingClassifier'>,"OrderedDict([('n_jobs', -1), ('voting', 'soft'), ('estimators', [('e1', DecisionTreeClassifier()), ('e2', HistGradientBoostingClassifier()), ('e3', RandomForestClassifier(max_features='sqrt', n_estimators=500, n_jobs=-1))])])","('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'citric acid', 'volatile acidity', 'fixed acidity')",9,5.625103499999568,0.00310701781249918,2179.27734375,0.3728976344325609,0.6268946294914662,0.6296777701465202,0.640625,0.81201252737381,"[[  0   0   2   0   0   0]
 [  0   1   7   2   1   0]
 [  0   1 104  29   1   1]
 [  0   0  35  83   9   1]
 [  0   0   8  15  16   1]
 [  0   0   0   1   1   1]]"
<class 'sklearn.tree._classes.DecisionTreeClassifier'>,"OrderedDict([('criterion', 'gini')])","('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'citric acid', 'volatile acidity', 'fixed acidity')",9,0.007136599999739701,2.9970625000430573e-05,1481.64453125,0.3728837084076055,0.601668632454746,0.5993372182481704,0.60625,0.691414488049962,"[[ 0  0  2  0  0  0]
 [ 0  2  6  2  1  0]
 [ 2  3 98 31  2  0]
 [ 0  3 33 77 13  2]
 [ 0  0  7 16 16  1]
 [ 0  0  0  1  1  1]]"
<class 'sklearn.ensemble._voting.VotingClassifier'>,"OrderedDict([('n_jobs', -1), ('voting', 'soft'), ('estimators', [('e1', DecisionTreeClassifier()), ('e2', HistGradientBoostingClassifier()), ('e3', RandomForestClassifier(max_features='sqrt', n_estimators=500, n_jobs=-1))])])","('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'citric acid', 'volatile acidity', 'fixed acidity')",9,6.169906600000104,0.003083726250000041,1957.8203125,0.372470105466429,0.6014853831645822,0.6011535698496905,0.6125,0.804294460191098,"[[  0   0   2   0   0   0]
 [  0   2   7   1   1   0]
 [  0   2 100  32   2   0]
 [  0   0  38  78  10   2]
 [  0   0   9  16  15   0]
 [  0   0   0   1   1   1]]"
<class 'sklearn.ensemble._voting.VotingClassifier'>,"OrderedDict([('n_jobs', -1), ('voting', 'soft'), ('estimators', [('e1', DecisionTreeClassifier()), ('e2', HistGradientBoostingClassifier()), ('e3', RandomForestClassifier(max_features='sqrt', n_estimators=500, n_jobs=-1))])])","('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'citric acid', 'volatile acidity', 'fixed acidity')",9,5.577999299999647,0.0030210281249992478,2063.81640625,0.3690679775698158,0.6190249429513185,0.6173987050960735,0.63125,0.8169089288658551,"[[  0   0   2   0   0   0]
 [  0   1   7   2   1   0]
 [  0   2 103  31   0   0]
 [  0   2  35  81  10   0]
 [  0   0   6  18  16   0]
 [  0   0   0   1   1   1]]"
<class 'sklearn.ensemble._voting.VotingClassifier'>,"OrderedDict([('n_jobs', -1), ('voting', 'soft'), ('estimators', [('e1', DecisionTreeClassifier()), ('e2', HistGradientBoostingClassifier()), ('e3', RandomForestClassifier(max_features='sqrt', n_estimators=500, n_jobs=-1))])])","('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'citric acid', 'volatile acidity', 'fixed acidity')",9,5.639094500000283,0.003068762187501761,2124.32421875,0.3683173648247178,0.6280449693139855,0.6279765464798359,0.64375,0.8175802473705508,"[[  0   0   2   0   0   0]
 [  0   1   8   1   1   0]
 [  0   0 106  28   2   0]
 [  0   1  32  84  10   1]
 [  0   0   6  19  14   1]
 [  0   0   0   1   1   1]]"
<class 'sklearn.ensemble._hist_gradient_boosting.gradient_boosting.HistGradientBoostingClassifier'>,"OrderedDict([('warm_start', True)])","('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'citric acid', 'volatile acidity', 'fixed acidity')",9,6.234514700000091,0.0007208090624999386,1830.69921875,0.36332209967320256,0.6220741112101407,0.6183647050912114,0.6375,0.8042588148929397,"[[  0   1   0   1   0   0]
 [  0   0   9   2   0   0]
 [  0   1 106  29   0   0]
 [  0   1  39  79   9   0]
 [  0   0   7  15  18   0]
 [  0   0   0   1   1   1]]"
<class 'sklearn.ensemble._hist_gradient_boosting.gradient_boosting.HistGradientBoostingClassifier'>,"OrderedDict([('warm_start', False)])","('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'citric acid', 'volatile acidity', 'fixed acidity')",9,6.091603000000305,0.0005083678125004099,1831.01953125,0.36332209967320256,0.6220741112101407,0.6183647050912114,0.6375,0.8042588148929397,"[[  0   1   0   1   0   0]
 [  0   0   9   2   0   0]
 [  0   1 106  29   0   0]
 [  0   1  39  79   9   0]
 [  0   0   7  15  18   0]
 [  0   0   0   1   1   1]]"
